comment,comment_length
"Ini masalah perdebatan cukup rame di era 2023. Sebagai kontraktor melihat Intinya bukan salah design tapi ada potensi kekurangan atau kompromi desain, tapi tidak bisa disebut gagal total. lebih tepatnya desain dengan keterbatasan yang menghasilkan efek seperti kecepatan rendah di tikungan",289
"KGa ngurus...yg penting dijaman gue banyak proyek prestisius....mau salah disain,mau mangkrak,mau duwit ngutang....yg penting gue happy....dan gue kebal hukum....😅",163
Mungkin tidak memperlihatkan desain kriteria untuk kecepatan asal nyambung melengkung R radius tidak  cocok,107
Orang kita kalau kerja tehnik dengan orang jepang atau Jerman pasti sakit jiwa 😂,80
Typical orang konoha nyantai aja lah yang tidak suka detail check and recheck Dan safety akuntability Dan sense of urgency,122
Itu bukan kesalahan design... rancangan itu bisa diaplikasikan berarti rancangannya benar... benar benar goblok,111
Lha jokowi kan insinyur ugm 😂😂😂😂😂😂😂,35
"JKW udah jangan ikut campur pembangunan di Indonesia, dia juara korup ke 2 sedunia vs OCCRP. dan itu tak terbantahkan oleh JKW dan termul2nya yg sontoloyo itu",158
"Wamennya yang sok tau, bukan kapasitasnya kok komen. Menteri saja tidak koment",78
Terlalu banyak koreksi kesalahan orang lain tapi tidak memberikan solusinya,75
Biar pas nikung gk keceng kecepatan nya. 🎉,42
"Ada bagusnya juga dilambatin,,, bisa liat pemandangan kemacetan dibawah nya😅",76
Sampe sekarang Gw blom dapet berita pembatalan penghargaan,58
😂😂😂😂😂..... Ya..dilihat aja...namanya juga konoha....,52
Salah design????,16
"Ga heran la klu urusan ama Jepang, pasti ada yg miss gitu",57
"Si Jokowi, apapun yg dia katakan, sering sebaliknya, gak bisa dipercaya tu sama keluarga nya juga",97
"Jngn bilang Indonesia lah, yg menikmati hanya pulau Jawa aja.",61
Whoosh bikinan siapa ya. Cina atau Indonesia.,45
"Kok bisa. Siapa insinyur nya. Parah <br>Ni. Belajar dong Dari negara tetangga,jangan malu.",90
yg penting segera usut apa bila indikasi mark up pembangunan terkait krl ataupun wossshhh...,92
semua kesalahan di indo pasti diwajarkan oleh mulyono,53
"Lahan nya kaga ada itu,bukan masalah desain nya,Masih mending tol nya gak di bangun tiang buat tikungan nya 😂",109
"Nah ini dungu juga,,,<br>Pernyataan begitu datang belakang kan aneh.<br>Sama kompor juga nih konten",99
Diperlambat agar tidak kecelakaan atau diperlebar lagi.,55
Lawak gile,10
Proyek lagi .korupsi lagi. Cair lagi,36
"Intinya asal bapak senang, acc~!",32
ketar ketir kami 😂😂😂😂,21
Pertama kali bukan alasan untuk salah!! Apalagi kalo melibatkan dana triliunan!!,80
"Kalau memang seperti itu, Itu tandanya Indonesia banyak di isi oleh orang orang yg tdk kompeten di bidangnya.<br>Kalau kenyataannya itu karena desain yg disesuaikan dg lahan yg kecil, berart itu adalah satu contoh kecil dari efek negatif dari terlalu parah nya korupsi, nepotisme dan kolusi di Indonesia",303
Kalah telak ama tetangga,24
"Wkwkwk yg desain itu perempuan 😂, hadeh2 perempuan nh nggak layak amat",70
Gini nih kalo propaganda Yahudi,31
Proyek penuh koropsi g akan bisa kalahkan cina,46
tidak cocok,11
Ngarang aja...<br>Semua kereta api berbelok pada sudut tertentu harus mengurangi kecepatan. Kondisi lapangan memang harus dibuat sudut seperti itu,146
salah design nggak bisa dipakai lol😂,36
Percuma mau konten,18
"sebetulnya bukan salah desain, tapi memang dengan restriksi yg ada waktu itu ya desain itu sebenarnya sudah termasuk keajaiban. saya ingat waktu itu engineer2 dari luar negeri saja nyerah, tidak mampu bikin jembatan yg belok dari gatsu ke kuningan tanpa banyak mengganggu/mengubah bangunan yg sudah ada (gedung pemerintahan, gedung kedutaan, tol dalam kota, salah satu persimpangan paling sibuk di jakarta). salah satu syaratnya harus minim tiang, ini yg engineer luar negeri nggak mampu. yang akhirnya mau bikin rancangan dan bisa dipertanggungjawabkan secara teknis justru engineer dalam negeri, wanita dan masih muda. dia bisa bikin jembatan yg hampir melingkar dgn tiang yg sedikit. tapi tentu saja ada komprominya demi keselamatan, yaitu kecepatan harus dikurangi, tapi cuma sebentar lah itu pas belokan doang. orang indonesia suka lupa sejarah dan lupa bersyukur.",869
Bahas aja berulang2 sama si Aiman sampe pemirsanya muntah😮,58
gede gak melesetnya?  klo melenceng gede mah fatall. org yg ngitung lalai,73
"udahlah udah selesai, ga usah ribut&quot; asal jangan rubuh aja 🤪😭",66
"Barang sudah jadi dan sudah digunakan, apa lagi ini yg pertama dibuat jembatan nelengkung tsb saya rasa bagus pekerjaannya",122
Bikin miring relnya..,21
Kartika wirjoadmojo ini sama sekali gakda basic sebagai tehnik sipil beliau dr jaman dlu karirnya selalu berhubungan dengan keuangan Karen abasicnya adalah ekonomi jadi yahhh pinter2 kita menyikapinya saja dan dewasa dlm penyampaian pendapat ... <br>Dan scr pribadi saya lebih percaya ahlinya sesuai bidang keilmuannya drpd stetmen orang yang basicnya tidak sesuai dengan apa yg di sampaikan. ...,396
Nga apa apa tolong sampai ke serang banten bapak keretanya,58
Any surprise?,13
Never assume a curved rail track is a hindrance to train speed. You can still maintain a higher speed by restudying the design of the track and reinforcing along the curve as to maintain the stability of the train and avoid slippage (derailment). Think roller coaster design.,275
"Beda sudut pandang ilmu, ini bukan salah design engineer tapi tantangannya pada lahan terbatas, makanya dibuat melengkung tanpa ada kolom tambahan serta aspek keselamatan krn kepadatan lalu lintas di bawahnya.",209
alon alon asal klakon 😊😊😊😊😊,27
Jok jok,7
"Wajar kalo ada perbedaan perencanaan dan dilapangan? Perbedaan minor sih wajar, tapi ini perbedaannya mayor bahkan mengangkut safety nya, kocak kocak",149
"Yang ngomong salah desain itu karena dia tidak ikut diajak dalam proyeknya, biasa itu.",86
"Kalau sudutnya tinggi, apa ga miring orang di dalam?",52
NEGARA SAMPAH<br>TAK ADA NILAI MATA ORANG,41
gw yakin itu bukan salah design.. tp emang dipaksakan demi cuan.. yg penting cair dan cuan,90
"Konten penyesatan, tidak melihat pembahasan sebelumnya.",55
Berita 2023 ngapain nongol sih,30
Oyaaaaaa,8
menurut aku uangnya ada yang dimasukin ke saku,46
"Yang bikin geli adalah: kecepatan terpaksa diturunkan (ga cuma di tikungan) karena takut roda cepat aus. Soalnya, waktu pengadaan kereta ga disertai dengan pengadaan roda serep. Jadi, waktu pembubutan roda yang aus lebih lama daripada waktu terjadinya keausan roda tersebut. Dikira kalau rodanya aus bisa diganti pake roda bajay kali. Kalau soal radius tikungan yang terlalu kecil, saya maklumlah soalnya juga ada keterbatasan lahan.",433
Proyek ladang korupsi pejabat wkwkwkwkwkw,41
"Gak salah, kak. Wakil Menteri yang komen itu ahli ekonomi dan gak cocok utk ngomong sesuatu yg bukan bidangnya. <br>Gak ada yg salah ama design-nya dan insinyur kita jago2 bikin jembatan dg lengkungan seperti itu.",213
Enggak heran sih. Enggak terbiasa bikin tata ruang yg bagus &amp; baik... Liat aja kotanya semrawut...Yaah begini deh,117
🤮🤮🤮🤮🤪,5
Lambene,7
Salah pemerintah sih...tanah harus dibebaskan. Karna keterbatasan lahan nah sekarang mulutnya asal melambai aja...komentar negatif.,131
Design pilihan kecepatan kereta disesuaikan dengan kondisi lengkung jembatan yg tersedia  ...lahir duluan bro ...<br>Nggak ngerti teknik sih ... makanya sok pinter komen,169
